casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
68783788,Dimethyl ditallow ammonium chloride,68783-78-8,68783788,Dimethyl ditallow ammonium chloride,"direct - no simpler parent: quaternary ammonium salt (UVCB, tallow-derived alkyl chains)",high,
68959206,Disiquonium chloride;N-Decyl-N-methyl-N-[3-(trimethoxysilyl)propyl]decan-1-aminium chloride,68959-20-6,68959206,Disiquonium chloride,direct - no simpler parent: quaternary ammonium salt (silane-functionalized antimicrobial),high,
70161443,"N-(Hydroxymethyl)glycine, monosodium salt;Sodium [(hydroxymethyl)amino]acetate",70161-44-3,70161443,"N-(Hydroxymethyl)glycine, monosodium salt",direct - no simpler parent: sodium salt of an N-substituted amino acid (consistent with established sodium organic-acid-salt precedent),high,
70636861,"1-Sulfide-4-(1,1-dimethylethyl)-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane",70636-86-1,70636861,"4-tert-Butyl-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane 1-sulfide","direct - no simpler parent: cyclic phosphine sulfide (bicyclic caged phosphate-type flame retardant); the sulfide is intrinsic to the P=S structure, consistent with the established Triphenylphosphine sulfide precedent",high,
71125387,"4-Hydroxy-2-methyl-N-(5-methyl-2-thiazolyl)-2H-1,2-benzothiazine-3-carboxamide 1,1-dioxide",71125-38-7,71125387,Meloxicam,"direct - no simpler parent: registered NSAID pharmaceutical (Meloxicam); the 1,1-dioxide (sulfone) is intrinsic to the oxicam benzothiazine core structure, not a separable salt or simple oxidation byproduct",high,
71265708,4-Chloro-2-oxo-3(2H)-benzothiazoleacetic acid mixt. with 2-(4-chloro-2-methylphenoxy)propanoic acid and sodium (4-chloro-2-methylphenoxy)acetate,NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""mixt. with"" notation joining three distinct herbicide-acid/salt components",high,
71662118,Furaltadone tartrate,139-91-3,139913,Furaltadone,"tartrate salt of organic base -> free base (nitrofuran antibacterial, consistent with the established Furaltadone hydrochloride -> Furaltadone precedent from Part 1)",medium,
72906388,"2-[Ethyl[4-[(3-phenyl-1,2,4-thiadiazol-5-yl)azo]phenyl]amino]-N,N,N-trimethyl ethaneaminium methyl sulfate",72906-38-8,72906388,"2-[Ethyl[4-[(3-phenyl-1,2,4-thiadiazol-5-yl)azo]phenyl]amino]-N,N,N-trimethylethanaminium methyl sulfate (cationic azo dye)","direct - no simpler parent: cationic azo dye with a quaternary ammonium tail, cation permanently charged (consistent with established cationic dye salt convention)",high,
73851704,Ranitidine-S-oxide;({5-[(Dimethylamino)methyl]-2-furyl}methyl)(2-{[1-(methylamino)-2-nitrovinyl]amino}ethyl)sulfoniumolate,73851-70-4,73851704,Ranitidine S-oxide,"direct - no simpler parent: sulfoxide metabolite of Ranitidine, tracked as its own distinct analyte (consistent with the established oxon-metabolite convention, e.g. Paraoxon/Diazoxon -> direct rather than resolved back to the parent pesticide)",medium,
76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,NA,NA,NA,MIXTURE OR PSEUDO-CAS - cannot resolve,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
77101521,1-Tetradecylquinolinium bromide,77101-52-1,77101521,1-Tetradecylquinolinium bromide,"direct - no simpler parent: quaternary quinolinium salt, cation permanently charged",high,
78246498,"Paroxetine hydrochloride [USP];(3S,4R)-3-{[(2H-1,3-Benzodioxol-5-yl)oxy]methyl}-4-(4-fluorophenyl)piperidine--hydrogen chloride (1/1)",61869-08-7,61869087,Paroxetine,HCl salt of organic base -> free base (SSRI antidepressant),high,
78697253,"4-Benzoyl-N,N,N-trimethylbenzenemethanaminium chloride (1:1)",78697-25-3,78697253,"4-Benzoyl-N,N,N-trimethylbenzylammonium chloride",direct - no simpler parent: quaternary ammonium salt,high,
79559970,"Sertraline hydrochloride;(1S,4S)-4-(3,4-Dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine--hydrogen chloride (1/1)",79617-96-2,79617962,Sertraline,HCl salt of organic base -> free base (SSRI antidepressant),high,
